,0,1,2,3,4,5,6,7,8,9,10,11
0,EviAdapt,,,,,,,,,,,
1,run_id,scenario,src_only_loss,mean_loss,std_loss,best_mean_loss,best_std_loss,src_only_score,mean_score,std_score,best_mean_score,best_std_score
2,run_id:4,DS01_1-->DS02_0.6,23.9576,8.3845,1.0274,6.4640,0.2972,8996.7051,1547.2828,341.6362,934.9671,68.7039
3,run_id:4,DS01_1-->DS03_0.6,28.7984,10.1931,0.2192,9.4296,0.3869,62030.0872,6841.2123,424.6172,5456.2552,511.8711
4,run_id:4,DS02_1-->DS01_0.6,34.5824,15.1406,0.5161,13.3400,0.9308,70710.6532,7466.5723,606.6048,5641.3918,713.1510
5,run_id:4,DS02_1-->DS03_0.6,26.8806,13.4845,0.5916,12.0110,0.1883,54552.4305,11506.1386,1376.7973,8337.6803,227.7805
6,run_id:4,DS03_1-->DS01_0.6,41.0375,13.8930,0.9400,11.7943,0.3925,129334.4713,5707.2032,775.9831,4184.4239,245.2310
7,run_id:4,DS03_1-->DS02_0.6,29.5219,7.3150,0.1879,6.5886,0.2625,16117.7998,1059.9587,95.2502,768.9838,27.5261
